DATE;Prcp;Temp
2018-01-02;;76
2018-01-03;;76
2018-01-04;;76
2018-01-05;;78
2018-01-06;;78
2018-01-07;;80
2018-01-08;;80
2018-01-09;0.02;81
2018-01-10;0.00;81
2018-01-11;;76
2018-01-12;;79
2018-01-13;;77
2018-01-14;;76
2018-01-15;;77
2018-01-16;;81
2018-01-17;;81
2018-01-18;;82
2018-01-19;;82
2018-01-20;;83
2018-01-21;;81
2018-01-22;;79
2018-01-23;;77
2018-01-24;;81
2018-01-25;;80
2018-01-26;;80
2018-01-27;;81
2018-01-28;;82
2018-01-29;;82
2018-01-30;;83
2018-01-31;;82
2018-02-01;;83
2018-02-02;;85
2018-02-03;;84
2018-02-04;;89
2018-02-05;;84
2018-02-06;;86
2018-02-07;;85
2018-02-08;;86
2018-02-09;;85
2018-02-10;;84
2018-02-11;;87
2018-02-12;;87
2018-02-13;;86
2018-02-14;;87
2018-02-15;;78
2018-02-18;;86
2018-02-19;;75
2018-02-21;1.14;82
2018-02-22;0.00;84
2018-02-23;;85
2018-02-24;;82
2018-02-25;;84
2018-02-26;0.47;80
2018-02-27;0.00;87
2018-02-28;1.61;82
2018-03-01;0.00;82
2018-03-02;;80
2018-03-03;;84
2018-03-04;;83
2018-03-05;;83
2018-03-06;;83
2018-03-07;0.01;79
2018-03-08;0.00;83
2018-03-09;;81
2018-03-10;;83
2018-03-11;;83
2018-03-12;;83
2018-03-13;;84
2018-03-14;;84
2018-03-15;0.08;83
2018-03-16;1.06;80
2018-03-17;1.57;78
2018-03-18;0.00;81
2018-03-19;;83
2018-03-20;;83
2018-03-21;;84
2018-03-22;;81
2018-03-23;;82
2018-03-24;2.76;78
2018-03-25;0.00;80
2018-03-26;;85
2018-03-27;;83
2018-03-28;;82
2018-03-29;;83
2018-03-30;;81
2018-03-31;;81
2018-04-01;;81
2018-04-02;;82
2018-04-03;;82
2018-04-04;;84
2018-04-05;0.24;78
2018-04-06;0.00;83
2018-04-07;;82
2018-04-08;0.12;80
2018-04-09;0.00;80
2018-04-10;;80
2018-04-11;;78
2018-04-12;;84
2018-04-13;;82
2018-04-14;0.00;82
2018-04-15;1.54;81
2018-04-16;0.00;83
2018-04-17;;84
2018-04-18;;81
2018-04-19;;80
2018-04-20;;83
2018-04-21;0.83;79
2018-04-22;0.00;81
2018-04-23;;83
2018-04-24;;83
2018-04-25;;85
2018-04-26;0.08;82
2018-04-27;0.00;85
2018-04-28;;78
2018-04-29;;84
2018-04-30;0.59;80
2018-05-01;0.00;85
2018-05-02;0.59;81
2018-05-03;0.00;81
2018-05-04;;81
2018-05-05;;83
2018-05-06;0.00;77
2018-05-07;;84
2018-05-08;;83
2018-05-09;;82
2018-05-10;;83
2018-05-11;;74
2018-05-12;;79
2018-05-13;;80
2018-05-14;;81
2018-05-15;;83
2018-05-16;;82
2018-05-17;;79
2018-05-18;0.20;80
2018-05-19;0.00;80
2018-05-20;;81
2018-05-21;;82
2018-05-22;;85
2018-05-23;;84
2018-05-24;0.12;81
2018-05-25;0.00;83
2018-05-26;0.04;78
2018-05-27;0.00;79
2018-05-28;0.01;80
2018-05-29;0.00;81
2018-05-30;;81
2018-05-31;;83
2018-06-01;;82
2018-06-02;;81
2018-06-03;;79
2018-06-04;;81
2018-06-05;;83
2018-06-06;;78
2018-06-07;;83
2018-06-08;;82
2018-06-09;;81
2018-06-10;;80
2018-06-11;;80
2018-06-12;0.08;80
2018-06-13;0.00;80
2018-06-14;;80
2018-06-15;;80
2018-06-16;;80
2018-06-17;2.60;75
2018-06-18;1.54;78
2018-06-19;0.00;73
2018-06-20;1.34;78
2018-06-21;0.00;78
2018-06-22;0.87;73
2018-06-23;0.08;77
2018-06-24;0.08;77
2018-06-25;1.06;78
2018-06-26;0.00;78
2018-06-27;0.24;77
2018-06-28;0.00;79
2018-06-29;0.08;78
2018-06-30;0.28;77
2018-07-01;0.00;75
2018-07-02;0.00;77
2018-07-03;0.39;79
2018-07-04;0.00;78
2018-07-05;;79
2018-07-06;;77
2018-07-07;2.09;76
2018-07-08;0.00;79
2018-07-09;0.43;78
2018-07-10;0.00;79
2018-07-11;;78
2018-07-12;;78
2018-07-13;0.24;77
2018-07-14;0.79;77
2018-07-15;0.28;76
2018-07-16;0.04;78
2018-07-17;0.00;77
2018-07-18;0.20;77
2018-07-19;0.02;78
2018-07-20;0.00;76
2018-07-21;;79
2018-07-22;;78
2018-07-23;;77
2018-07-24;;78
2018-07-25;;77
2018-07-26;;77
2018-07-27;;79
2018-07-28;;79
2018-07-29;;79
2018-07-30;;79
2018-07-31;;77
2018-08-01;;80
2018-08-02;;76
2018-08-03;;80
2018-08-04;0.00;78
2018-08-05;0.20;76
2018-08-06;0.00;76
2018-08-07;;76
2018-08-08;;77
2018-08-09;;78
2018-08-10;;78
2018-08-11;;78
2018-08-12;;80
2018-08-13;;77
2018-08-14;;79
2018-08-15;;80
2018-08-16;;80
2018-08-17;;80
2018-08-18;;79
2018-08-19;0.08;76
2018-08-20;0.59;76
2018-08-21;0.00;79
2018-08-22;;79
2018-08-23;0.20;76
2018-08-24;0.04;78
2018-08-25;1.34;74
2018-08-26;0.59;77
2018-08-27;0.20;78
2018-08-28;0.00;77
2018-08-29;;78
2018-08-30;;79
2018-08-31;;77
2018-09-01;;78
2018-09-02;;78
2018-09-03;0.91;76
2018-09-04;0.00;74
2018-09-05;;78
2018-09-06;;77
2018-09-07;;77
2018-09-08;;77
2018-09-09;;78
2018-09-10;;78
2018-09-11;;80
2018-09-12;;78
2018-09-13;;78
2018-09-14;;79
2018-09-15;;77
2018-09-16;;79
2018-09-18;;82
2018-09-19;;80
2018-09-20;;80
2018-09-21;;78
2018-09-22;;75
2018-09-23;;77
2018-09-24;;79
2018-09-25;;79
2018-09-26;;78
2018-09-27;;77
2018-09-28;;80
2018-09-29;;80
2018-09-30;;77
2018-10-01;;77
2018-10-02;;80
2018-10-03;;79
2018-10-04;;79
2018-10-05;;79
2018-10-06;;79
2018-10-07;;79
2018-10-08;;78
2018-10-09;;76
2018-10-10;;79
2018-10-11;;76
2018-10-12;;81
2018-10-13;;75
2018-10-14;;78
2018-10-15;;77
2018-10-16;;79
2018-10-17;;79
2018-10-18;;81
2018-10-19;;80
2018-10-20;;78
2018-10-21;;80
2018-10-22;;80
2018-10-23;;82
2018-10-24;;80
2018-10-25;;79
2018-10-26;;81
2018-10-27;;80
2018-10-28;;80
2018-10-29;;77
2018-10-30;;80
2018-10-31;;81
2018-11-01;;82
2018-11-02;;81
2018-11-03;;80
2018-11-04;;80
2018-11-05;;78
2018-11-06;;80
2018-11-07;;78
2018-11-08;;79
2018-11-09;;81
2018-11-10;;79
2018-11-11;;80
2018-11-12;;80
2018-11-13;;81
2018-11-14;;82
2018-11-15;;80
2018-11-16;;78
2018-11-17;;77
2018-11-18;;80
2018-11-19;;81
2018-11-20;0.24;79
2018-11-21;0.00;82
2018-11-22;;81
2018-11-23;;81
2018-11-24;;81
2018-11-25;;81
